,embedding0,embedding1,embedding2
0,0.015835524,0.22816037,0.041459054
1,0.12031965,0.4193549,-0.015161023
2,0.19201317,0.6192342,0.15297753
3,-0.0126965195,0.32703376,0.08259843
4,0.13136408,0.33799133,-0.05752442
5,0.20227024,0.6238964,0.10127705
6,0.10840866,0.47366312,0.1219849
7,0.29047623,0.85782844,0.21849161
8,0.1214129,0.63345003,0.16859183
9,0.065313846,0.42881364,0.09196338
10,0.11778054,0.45259255,0.06243883
11,0.07261531,0.4083296,0.01141794
12,0.22121719,0.6779746,0.22230491
13,0.18599215,0.3682793,-0.11459616
14,0.0909951,0.4513048,0.039509326
15,0.02558732,0.2990083,0.036132723
16,0.18360439,0.70104533,0.18465817
17,0.16822961,0.72076875,0.1360061
18,0.13725072,0.34846017,-0.013094671
19,0.02720359,0.44356167,0.1730859
20,0.09691149,0.3683638,0.023580581
21,0.17694142,0.53316057,0.040743098
22,0.3011316,0.8952728,0.23926112
23,0.1869475,0.66107124,0.17912114
24,0.20772147,0.5841264,0.052130133
25,0.15191838,0.51478183,0.067809045
26,0.20961884,0.5275405,0.02879095
27,0.061669886,0.5345674,0.08626588
28,0.11406502,0.5104042,0.18879497
29,0.10454889,0.39554143,0.039578795
30,0.27080038,1.0122387,0.33582425
31,0.051621363,0.31183177,-0.03017962
32,0.2279405,0.5361058,0.021295473
33,0.108197436,0.2518263,-0.029871613
34,0.32334375,0.74640244,0.09658913
35,0.21456507,0.52936536,-0.009045541
36,0.12387559,0.55573183,0.14349602
37,0.16141748,0.64004,0.13478479
38,0.027634382,0.27456975,0.03847076
39,0.06669533,0.45801616,0.11497101
40,0.08110556,0.41023958,0.087020814
41,0.16122329,0.6403801,0.10119659
42,0.045331642,0.26187235,0.021075413
43,0.17289844,0.66201293,0.09850955
44,0.3628275,1.0149146,0.24252892
45,0.06425324,0.3856366,0.05316046
46,0.17921057,0.642988,0.15749243
47,0.14498407,0.6298179,0.19173163
48,0.08976364,0.4468599,0.08232936
49,0.15582839,0.40439567,-0.07800214
50,0.010836929,0.4208525,0.1280894
51,0.12525669,0.5867264,0.1629534
52,0.08432414,0.258246,-0.041086517
53,0.22155711,0.5692498,0.06101823
54,0.1216957,0.63927466,0.13206173
55,0.20559382,0.39431757,-0.06242065
56,0.161276,0.45988885,0.044258177
57,0.2054299,0.4909155,-0.016951114
58,0.17878264,0.6368024,0.11355035
59,0.11973514,0.38210508,-0.02715677
60,0.113744766,0.55738837,0.17431372
61,-0.0076823086,0.34386033,0.05004978
62,0.13354701,0.42437947,-0.019232482
63,0.05151826,0.47849655,0.07147522
64,0.17022285,0.4913821,0.029923618
65,0.11917691,0.39140183,0.029995069
66,0.068454325,0.57086736,0.10394253
67,0.1254287,0.49251682,0.037459478
68,0.08876419,0.4984244,0.12213045
69,0.31849286,0.88113034,0.21151662
70,0.20445642,0.826297,0.21955302
71,-0.011831522,0.33431727,0.015802436
72,-0.065915555,0.26899335,0.051732987
73,0.08394775,0.4776553,0.09766771
74,0.19408432,0.28923166,-0.0005159527
75,0.20161393,0.6517361,0.11751963
76,0.21024182,0.63235325,0.1046858
77,0.0030585974,0.15566203,0.005014777
78,0.2486141,0.66268796,0.09800775
79,0.0919752,0.3654964,0.023153141
80,0.09063664,0.3843627,0.07619101
81,0.10342771,0.46024874,0.12445663
82,0.03456603,0.20656055,0.01887609
83,0.13275415,0.24470216,-0.0579957
84,0.06692314,0.2003873,-0.032777563
85,0.21078242,0.52805716,0.055639297
86,0.096828386,0.43078846,0.098518625
87,0.14240655,0.58767545,0.14486048
88,0.07669932,0.42499766,0.091260225
89,0.016734794,0.26674122,0.04967183
90,0.21304095,0.49700654,0.04650101
91,0.012230188,0.33792898,0.07591304
92,0.102706745,0.33546022,-0.06030804
93,0.23136587,0.557376,0.04451646
94,0.12057322,0.4290567,0.04706514
95,-0.034925,0.33844095,0.10059318
96,0.16662994,0.54748166,0.037279233
97,0.055241406,0.43968353,0.025101364
98,0.16057995,0.50449127,0.04270141
99,0.05472748,0.40515262,0.109061286
100,0.16588166,0.5919021,0.108697444
101,0.10077639,0.42723015,0.07120845
102,0.11911224,0.24967755,-0.025952123
103,0.13413158,0.44720274,0.017430425
104,0.22022617,0.5211977,-0.015574157
105,0.11601928,0.5592614,0.13127227
106,0.10333569,0.3693291,0.0060279667
107,0.34499773,0.765901,0.10182887
108,0.13281895,0.20821063,-0.06525689
109,0.16788657,0.39338377,0.020425275
110,0.051210374,0.4050628,0.07602964
111,0.2491028,0.6410478,0.110405415
112,0.18917888,0.4293593,-0.055914775
113,0.12592053,0.5540275,0.12687664
114,0.014204845,0.32190037,0.049730793
115,0.26121733,0.6099233,0.04952629
116,0.07110393,0.3505549,0.029438868
117,0.1294473,0.41807732,0.046701103
118,0.1136533,0.33212614,0.00019393861
119,0.16835073,0.3387567,-0.0066921264
120,0.14606956,0.50643176,0.052356422
121,-0.0047595203,0.24234818,-0.0060020685
122,0.1991053,0.45721683,-0.042415254
123,0.17364639,0.7473781,0.1679061
124,0.073725015,0.4769361,0.08071777
125,0.25565836,0.6771891,0.11888069
126,0.11780837,0.6398583,0.22976786
127,0.111383885,0.4478964,0.018173575
128,0.20939735,0.68903077,0.21492028
129,-0.025688827,0.37755793,0.095297575
130,0.020594075,0.29783845,0.023655578
131,0.12779939,0.50881785,0.07930821
132,0.22224233,0.6637162,0.12995261
133,0.038040295,0.24700889,-0.07221756
134,0.08729933,0.4362496,0.07969871
135,0.12592286,0.29957628,-0.0845913
136,0.1528519,0.42087775,-0.03671752
137,0.18616721,0.6338588,0.13690299
138,-0.024665624,0.31313926,0.09882751
139,0.10493675,0.50425076,0.05959615
140,0.012213662,0.31370825,0.046581194
141,0.07104659,0.4392706,0.12148616
142,0.12447335,0.47013035,0.046108335
143,0.09847665,0.46756753,0.041243672
144,0.084880814,0.02885979,0.008530825
145,0.16692314,0.75930333,0.19295642
146,0.026971057,0.35524413,0.05053246
147,-0.024829209,0.24971414,0.039158463
148,0.3444494,1.0711308,0.32180548
149,0.032401696,0.3670393,0.07574485
150,0.043943867,0.22913392,-0.03255111
151,0.21873769,0.73549336,0.16522902
152,0.095388755,0.32631958,-0.052606553
153,0.15627405,0.66325325,0.14685825
154,0.13225025,0.57524216,0.06173688
155,0.18333185,0.4139752,-0.011496909
156,0.058485836,0.5434658,0.13088468
157,0.0713585,0.4223223,0.073340714
158,0.20657876,0.7172182,0.14789334
159,-0.02842842,0.34109122,0.030220643
160,0.19792485,0.58889806,0.060933292
161,0.15142289,0.49444145,-0.0023518205
162,0.039653465,0.27968752,-0.002304174
163,0.12063931,0.27150407,-0.03957776
164,-0.039800942,0.26109886,0.056051463
165,0.098039895,0.26500314,-0.09097772
166,0.20987374,0.64338315,0.13873011
167,0.08755581,0.32685348,0.018312879
168,0.14241311,0.17434628,-0.04713045
169,0.39878112,0.94089675,0.18238828
170,0.15144318,0.622498,0.106620386
171,0.109545484,0.18649125,0.024469465
172,0.07347298,0.47350633,0.11920336
173,0.190469,0.5578504,0.058013886
174,0.2218267,0.7949473,0.1994951
175,0.26032686,0.72230744,0.12473887
176,0.15427902,0.4708123,0.026115373
177,0.38660595,0.79916626,0.080090925
178,0.1450372,0.72803104,0.1721681
179,0.14248365,0.54108876,0.06991625
180,0.18370268,0.6912882,0.1288943
181,0.07935907,0.10930951,-0.0046205446
182,0.21269313,0.72868454,0.15184343
183,0.18677571,0.6354489,0.11455844
184,0.16193512,0.5229247,0.041809127
185,0.10997532,0.43641424,-0.011674248
186,0.19283411,0.7358822,0.14361453
187,0.22068515,0.67408943,0.10017519
188,0.18447715,0.6263697,0.13100196
189,0.1632321,0.50267327,0.0845727
190,0.060930148,0.3632164,-0.025428891
191,0.15474606,0.4522133,0.069637105
192,0.09243174,0.45328212,0.079665214
193,0.13639581,0.30486017,-0.053153016
194,0.03254965,0.23708986,0.035711437
195,0.00267981,0.31976622,0.014343701
196,0.16294163,0.49870515,0.038971573
197,0.12985632,0.60352415,0.1319164
198,0.14583449,0.38721386,-0.043644994
199,0.25653282,0.6316188,0.050465792
200,0.16374275,0.7490043,0.21329582
201,0.23907891,0.7172623,0.118878186
202,0.23300645,0.46063367,-0.05162546
203,0.06762326,0.41976932,0.0038325787
204,0.25399944,0.6210519,0.099661335
205,0.2951757,0.7196432,0.069087625
206,0.09067105,0.26520005,-0.0036322847
207,0.053895026,0.4259771,0.06153798
208,0.06068346,0.4136944,0.09340693
209,0.16141763,0.47484934,0.114901096
210,0.081841215,0.41050363,-0.016740263
211,0.10411964,0.38970706,0.07804665
212,0.062087506,0.28961682,-0.068438746
213,0.02714935,0.38167033,0.10307786
214,0.19850063,0.7291852,0.17792243
215,0.17490429,0.5426687,0.074685395
216,0.1769599,0.6134348,0.18310362
217,0.043988973,0.42637032,0.08670154
218,-0.000112473965,0.40654534,0.078223735
219,0.1054714,0.19127238,-0.03524536
220,0.04524164,0.40337408,0.09508631
221,0.17836091,0.5690051,0.05026236
222,0.26758552,0.6242768,0.046498716
223,0.36693892,0.71706295,0.046320856
224,0.18598333,0.7359727,0.16146877
225,0.10537279,0.61316186,0.14848942
226,0.12086737,0.47974506,0.063489676
227,0.15703344,0.35574728,-0.107187465
228,0.1099882,0.31799012,0.007917099
229,0.26532727,0.5890571,0.037299782
230,0.048244655,0.47763965,0.16396207
231,0.043498263,0.35481167,0.0126172155
232,0.28796887,0.73903817,0.13433015
233,0.033774227,0.28289288,0.03465043
234,0.070322156,0.21957706,-0.06975099
235,0.22245571,0.84303683,0.2290163
236,0.106281966,0.42588764,0.10396263
237,0.014721751,0.40339184,0.117776886
238,0.045434386,0.43165413,0.057095677
239,0.15382734,0.5303189,0.085565805
240,0.14700279,0.60410863,0.11219902
241,0.051270127,0.44496387,0.10833895
242,0.053210244,0.26884896,-0.03407765
243,0.19153765,0.7574436,0.15991321
244,0.08075647,0.26797011,-0.08568843
245,0.16309613,0.7019892,0.1869536
246,0.11231728,0.37787426,0.020636022
247,0.2844648,0.7218508,0.04942262
248,0.23788026,0.67747885,0.09660557
249,0.091117114,0.472252,0.11453664
250,0.13774355,0.37230036,0.04171419
