,Celltype
0,2
1,0
2,3
3,2
4,2
5,3
6,0
7,1
8,3
9,0
10,0
11,0
12,1
13,2
14,0
15,2
16,1
17,1
18,2
19,0
20,0
21,3
22,1
23,3
24,3
25,3
26,3
27,0
28,3
29,0
30,1
31,2
32,3
33,2
34,1
35,3
36,3
37,3
38,2
39,0
40,0
41,3
42,2
43,3
44,1
45,0
46,3
47,3
48,0
49,0
50,0
51,3
52,2
53,3
54,3
55,0
56,0
57,0
58,3
59,0
60,3
61,2
62,0
63,0
64,0
65,0
66,3
67,0
68,0
69,1
70,1
71,2
72,2
73,0
74,2
75,3
76,3
77,2
78,3
79,0
80,0
81,0
82,2
83,2
84,2
85,3
86,0
87,3
88,0
89,2
90,3
91,2
92,2
93,3
94,0
95,2
96,3
97,0
98,0
99,0
100,3
101,0
102,2
103,0
104,3
105,3
106,0
107,1
108,2
109,0
110,0
111,3
112,0
113,3
114,2
115,3
116,2
117,0
118,2
119,2
120,0
121,2
122,0
123,1
124,0
125,1
126,3
127,0
128,1
129,0
130,2
131,0
132,3
133,2
134,0
135,2
136,0
137,3
138,2
139,0
140,2
141,0
142,0
143,0
144,2
145,1
146,2
147,2
148,1
149,0
150,2
151,1
152,2
153,3
154,3
155,0
156,3
157,0
158,1
159,2
160,3
161,0
162,2
163,2
164,2
165,2
166,3
167,2
168,2
169,1
170,3
171,2
172,0
173,3
174,1
175,1
176,0
177,1
178,1
179,3
180,3
181,2
182,1
183,3
184,3
185,0
186,1
187,3
188,3
189,3
190,2
191,0
192,0
193,2
194,2
195,2
196,0
197,3
198,0
199,3
200,1
201,1
202,0
203,0
204,3
205,1
206,2
207,0
208,0
209,0
210,0
211,0
212,2
213,0
214,1
215,3
216,3
217,0
218,0
219,2
220,0
221,3
222,3
223,1
224,1
225,3
226,0
227,2
228,2
229,3
230,0
231,2
232,1
233,2
234,2
235,1
236,0
237,0
238,0
239,3
240,3
241,0
242,2
243,1
244,2
245,1
246,0
247,1
248,3
249,0
250,0
251,0
252,1
253,2
254,1
255,3
256,2
257,0
258,0
259,3
260,3
261,2
262,1
263,3
264,3
265,1
266,2
267,0
268,0
269,3
270,3
271,2
272,1
273,0
274,0
275,0
276,1
277,1
278,1
279,2
280,3
281,0
282,0
283,2
284,0
285,0
286,0
287,0
288,2
289,1
290,1
291,3
292,3
293,3
294,0
295,0
296,0
297,1
298,0
299,2
300,1
301,3
302,3
303,1
304,3
305,2
306,2
307,1
308,1
309,3
310,3
311,2
312,3
313,2
314,3
315,0
316,2
317,0
318,2
319,2
320,3
321,0
322,0
323,0
324,0
325,3
326,3
327,0
328,0
329,2
330,0
331,1
332,0
333,0
334,0
335,1
336,1
337,2
338,3
339,3
340,3
341,3
342,3
343,0
344,1
345,2
346,3
347,0
348,3
349,2
350,0
351,0
352,0
353,0
354,0
355,2
356,1
357,1
358,0
359,1
360,2
361,0
362,0
363,3
364,1
365,2
366,1
367,0
368,0
369,0
370,3
371,1
372,0
373,3
374,1
375,3
376,3
377,0
378,1
379,3
380,0
381,0
382,3
383,0
384,3
385,2
386,3
387,0
388,3
389,3
390,1
391,3
392,1
393,0
394,0
395,0
396,3
397,1
398,0
399,0
400,2
401,3
402,2
403,0
404,3
405,1
406,0
